Target Name,Label
NGC 0024,0
NGC 0099,0
NGC 0115,1
NGC 0151,1
NGC 0165,1
PGC 02269,1
NGC 0195,1
NGC 0213,1
NGC 0253,1
NGC 0247B,1
ESO 540-G025,1
NGC 0262,0
NGC 0266,1
PGC 03004,1
NGC 0291,1
NGC 0300,0
ESO 351-G028,1
NGC 0337,1
PGC 03613,1
NGC 0337A,1
UGC 00652,1
ESO 352-G002,0
IC 1616,1
ESO 352-G007,1
UGC 00726,1
UGC 00732,0
UGC 00736,0
ESO 243-G051,0
NGC 0467,0
NGC 0470,0
UGC 00885,0
ESO 352-G050,0
NGC 0479,1
ESO 352-G057,1
ESO 352-G062,0
ESO 352-G064,0
NGC 0527,1
NGC 0514,1
ESO 352-G069,1
NGC 0530,1
UGC 00984,0
UGC 00985,0
NGC 0535,0
UGC 00999,0
UGC 01003,0
NGC 0557,1
UGC 01040,0
UGC 01057,0
NGC 0574,1
NGC 0586,0
MESSIER 033,0
NGC 0628,0
UGC 01181,0
NGC 0660,1
IC 0159,1
UGC 01261,0
UGC 01264,0
NGC 0676,0
UGC 01271,1
UGC 01278,0
NGC 0706,0
UGC 01364,1
PGC 07064,1
IC 1755,0
UGC 01448,0
NGC 0772,0
UGC 01468,0
NGC 0774,0
NGC 0778,0
NGC 0787,0
NGC 0809,
UGC 01584,0
UGC 01593,1
UGC 01603,0
NGC 0830,1
NGC 0842,1
ESO 415-G011,1
NGC 0871,1
NGC 0881,1
NGC 0898,0
NGC 0906,1
PGC 09333,1
NGC 0934,1
UGC 01976,0
NGC 0955,0
UGC 02010,1
NGC 0959,0
NGC 0986A,1
IC 0243,1
NGC 1022,1
NGC 1033,0
NGC 1042,1
NGC 1047,0
NGC 0961,1
NGC 1055,1
UGC 02174,1
NGC 1068,0
NGC 1069,1
UGC 02201,0
NGC 1067,1
NGC 1084,0
PGC 10794,0
PGC 10875,0
NGC 1148,1
PGC 11767,1
UGC 02519,0
NGC 1241,1
NGC 1242,1
NGC 1266,1
NGC 1291,1
NGC 1285,1
NGC 1299,1
NGC 1310,1
KUG 0319-072,0
ESO 357-G025,1
NGC 1326,1
NGC 1346,0
ESO 418-G008,1
NGC 1365,1
UGCA 080,1
NGC 1385,1
NGC 1393,0
NGC 1394,0
NGC 1400,0
IC 0343,1
ESO 548-G068,1
PGC 13535,1
PGC 13600,1
NGC 1481,0
NGC 1512,1
NGC 1546,0
NGC 1553,0
NGC 1566,1
NGC 1672,1
ESO 422-G027,1
NGC 1808,1
ESO 204-G006,0
NGC 1961,1
UGC 03342,0
UGC 03344,1
NGC 2090,0
UGC 03422,1
NGC 2207,1
NGC 2146,1
NGC 2442,1
NGC 2403,1
UGC 03942,0
NGC 2500,1
UGC 04176,1
NGC 2538,1
NGC 2543,1
NGC 2541,0
UGC 04393,1
UGC 04514,1
UGC 04515,1
UGC 04525,1
NGC 2639,0
UGC 04546,0
UGC 04628,0
NGC 2681,1
IC 0522,0
UGC 04690,0
NGC 2710,1
UGC 04800,1
UGC 04844,1
UGC 04851,0
NGC 2782,1
UGC 04915,0
NGC 2799,1
IC 0531,1
NGC 2854,1
NGC 2857,0
UGC 05013,0
NGC 2870,0
NGC 2903,1
UGC 05077,1
NGC 2916,0
UGC 05107,1
UGC 05201,1
NGC 2992,0
NGC 2993,0
NGC 2976,0
UGC 05237,0
NGC 3023,1
NGC 3049,1
MESSIER 081,0
ESO 435-G014,0
NGC 3079,1
UGCA 196,0
IC 2537,1
UGC 05493,1
NGC 3147,0
NGC 3190,0
NGC 3198,1
NGC 3183,1
ESO 317-G023,1
NGC 3244,0
NGC 3277,0
NGC 3288,1
UGC 05772,0
NGC 3319,1
NGC 3344,1
MESSIER 095,1
NGC 3367,1
UGC 05876,0
NGC 3359,1
MESSIER 096,1
UGC 05886,1
UGC 05896,0
NGC 3394,0
UGC 05974,0
UGC 06011,0
NGC 3440,1
NGC 3445,1
UGC 06039,0
NGC 3470,0
NGC 3521,1
IC 0671,1
IC 0673,1
NGC 3621,0
UGC 06329,1
NGC 3627,1
NGC 3628,0
NGC 3644,1
NGC 3646,0
NGC 3705,1
NGC 3816,0
NGC 3821,1
CGCG 097-068,0
UGC 06683,0
NGC 3840,0
UGC 06719,0
NGC 3861,1
UGC 06725,0
ESO 440-G004,1
UGCA 247,1
NGC 3938,0
NGC 4030,0
NGC 4108A,1
NGC 4108,0
NGC 4109,0
NGC 4111,0
NGC 4108B,1
NGC 4116,1
NGC 4117,0
NGC 4136,1
NGC 4138,0
UGC 07148,1
NGC 4150,0
NGC 4165,1
MESSIER 098,1
NGC 4193,1
NGC 4186,0
NGC 4206,0
NGC 4216,1
NGC 4222,0
NGC 4236,1
NGC 4242,1
MESSIER 099,0
MESSIER 106,1
NGC 4262,1
NGC 4274,1
UGC 07387,0
NGC 4286,0
NGC 4298,0
UGC 07411,0
NGC 4303,1
NGC 4310,1
NGC 4301,1
NGC 4312,0
NGC 4314,1
NGC 4321,1
NGC 4328,0
NGC 4379,0
IC 3311,0
NGC 4388,0
IC 3330,1
NGC 4396,0
NGC 4405,0
NGC 4402,0
MESSIER 086,0
NGC 4414,0
ESO 380-G029,1
NGC 4421,1
NGC 4425,1
NGC 4431,0
NGC 4435,1
NGC 4438,0
NGC 4440,1
NGC 4450,0
NGC 4452,0
NGC 4454,1
NGC 4461,1
IC 0796,0
NGC 4476,0
NGC 4491,1
NGC 4497,1
NGC 4503,1
IC 3467,0
NGC 4528,0
NGC 4531,1
NGC 4536,1
UGC 07748,0
NGC 4546,1
NGC 4550,1
NGC 4559,1
NGC 4569,1
NGC 4559A,0
IC 3598,0
MESSIER 058,1
NGC 4584,1
NGC 4594,0
NGC 4618,1
NGC 4631,1
NGC 4623,1
NGC 4691,1
NGC 4736,0
UGC 08013,0
NGC 4771,0
NGC 4787,0
NGC 4807,1
NGC 4819,1
NGC 4827,0
IC 3949,0
NGC 4861,1
IC 0842,0
IC 0843,0
IC 4088,0
NGC 5004,0
UGC 08313,1
NGC 5055,0
UGC 08340,0
UGC 08365,1
IC 4229,1
Centaurus A,0
NGC 5169,1
MESSIER 051a,0
NGC 5231,1
MESSIER 083,1
ESO 444-G087,1
UGC 08650,0
UGC 08787,0
IC 0952,1
UGC 08816,0
NGC 5398,1
MESSIER 101,1
UGC 08986,0
NGC 5474,0
UGC 09120,0
UGC 09140,0
NGC 5560,1
NGC 5569,1
NGC 5574,1
UGC 09215,1
UGC 09277,0
UGC 09285,0
NGC 5646,1
NGC 5656,0
UGC 09338,0
NGC 5705,1
NGC 5727,1
IC 1063,1
NGC 5770,1
UGC 09584,0
NGC 5832,1
NGC 5806,1
NGC 5866,0
NGC 5826,0
NGC 5894,1
UGC 09925,0
UGC 09953,1
UGC 10043,0
UGC 10109,1
UGC 10153,1
UGC 10198,0
NGC 6100,1
NGC 6154,1
UGC 10404,1
UGC 10420,1
UGC 10445,1
IC 1222,1
NGC 6239,1
NGC 6255,1
NGC 6306,1
UGC 10729,0
IC 1251,0
NGC 6340,0
